"","Age","STL","AST","PT","FT","MP"
"1",19,63.75,278.125,10.42,0.74575,1871
"2",20,80.6153846153846,323.153846153846,11.1246153846154,0.746576923076923,1927.53846153846
"3",21,76.0196078431373,303.117647058824,10.9052941176471,0.765921568627451,1921.50980392157
"4",22,79.7123287671233,341.041095890411,11.2790410958904,0.766178082191781,1943.27397260274
"5",23,77.2093023255814,321.744186046512,11.7577906976744,0.79203488372093,1893.58139534884
"6",24,81.126582278481,351.759493670886,12.5435443037975,0.793227848101266,1994.10126582278
"7",25,74.75,333.923913043478,12.0151086956522,0.80429347826087,1885.97826086957
"8",26,76.0842105263158,370.673684210526,12.8785263157895,0.801221052631579,1968.87368421053
"9",27,72.1555555555556,356.766666666667,12.3778888888889,0.807111111111111,1977.67777777778
"10",28,71.9047619047619,348.357142857143,12.0944047619048,0.79952380952381,1967.36904761905
"11",29,71.8552631578947,334.960526315789,11.1281578947368,0.80525,1866.44736842105
"12",30,72.7017543859649,368.649122807018,12.2250877192982,0.820859649122807,2046.31578947368
"13",31,66.4901960784314,327.941176470588,11.3241176470588,0.816823529411765,1842.52941176471
"14",32,65.0612244897959,315.489795918367,9.83183673469388,0.784285714285714,1804.79591836735
"15",33,64.75,319.111111111111,9.5575,0.809138888888889,1779.61111111111
"16",34,65.6969696969697,357.484848484848,10.2948484848485,0.780575757575758,1803.45454545455
"17",35,71,379.5,8.981875,0.82425,1917.625
"18",36,69.2142857142857,393.428571428571,9.05071428571429,0.804571428571429,1915.78571428571
"19",37,60.3846153846154,314.230769230769,7.42692307692308,0.824076923076923,1615.15384615385
"20",38,55.4444444444444,287.111111111111,8.36333333333333,0.813555555555556,1441.88888888889
"21",39,152,674,13.44,0.857,2566
"22",40,137,629,10.78,0.826,2275
