"","Age","TRB","BLK","PT","MP"
"1",19,387,90.375,7.41625,1488.375
"2",20,514.423076923077,83.8461538461538,9.89884615384615,1826.84615384615
"3",21,522.083333333333,79.9166666666667,10.7677777777778,1812.44444444444
"4",22,498.952380952381,79.6031746031746,10.5428571428571,1762.5873015873
"5",23,488.333333333333,83.6818181818182,9.70727272727273,1751.28787878788
"6",24,493.868421052632,85.8684210526316,9.82671052631579,1752.85526315789
"7",25,482.531914893617,81.9042553191489,9.85287234042553,1763.56382978723
"8",26,480.447916666667,80.78125,9.80072916666667,1718.45833333333
"9",27,479.828947368421,87.3157894736842,10.2659210526316,1781.85526315789
"10",28,505.724637681159,83.3623188405797,9.98449275362319,1841.94202898551
"11",29,462.881355932203,80.864406779661,9.46593220338983,1768.52542372881
"12",30,472.090909090909,83.8636363636364,9.87242424242424,1784.5303030303
"13",31,517.85,79.975,9.60375,1890
"14",32,516.818181818182,80,9.30515151515151,1847.33333333333
"15",33,519.916666666667,89.5,9.15291666666667,1816.91666666667
"16",34,473.333333333333,82.5238095238095,8.69095238095238,1597.90476190476
"17",35,493.35,93.2,9.822,1800.15
"18",36,457.625,78.1875,8.99,1749.25
"19",37,434.7,81.1,8.23,1414.2
"20",38,441.375,77,8.9875,1534.875
"21",39,373,75,6.11,1289.66666666667
"22",40,305,49.5,3.565,1122
