1,Precious Achiuwa,PF,21,MIA,60,3,11.6,1.9,3.5,0.538,0,0,0,1.9,3.5,0.54,0.538,0.9,1.7,0.515,1.2,2.1,3.3,0.5,0.3,0.5,0.7,1.5,4.7
2,Jaylen Adams,PG,24,MIL,7,0,2.6,0.1,1.1,0.125,0,0.3,0,0.1,0.9,0.167,0.125,0,0,,0,0.4,0.4,0.3,0,0,0,0.1,0.3
3,Steven Adams,C,27,NOP,58,58,27.7,3.3,5.3,0.614,0,0.1,0,3.3,5.3,0.62,0.614,1,2.3,0.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6
4,Bam Adebayo,C,23,MIA,64,64,33.5,7.1,12.5,0.57,0,0.1,0.25,7.1,12.4,0.573,0.571,4.4,5.5,0.799,2.2,6.7,9,5.4,1.2,1,2.6,2.3,18.7
5,LaMarcus Aldridge,C,35,TOT,26,23,25.9,5.4,11.4,0.473,1.2,3.1,0.388,4.2,8.3,0.505,0.525,1.6,1.8,0.872,0.7,3.8,4.5,1.9,0.4,1.1,1,1.8,13.5
5,LaMarcus Aldridge,C,35,SAS,21,18,25.9,5.5,11.8,0.464,1.3,3.6,0.36,4.2,8.2,0.509,0.518,1.5,1.8,0.838,0.8,3.7,4.5,1.7,0.4,0.9,1,1.7,13.7
5,LaMarcus Aldridge,C,35,BRK,5,5,26,5,9.6,0.521,0.8,1,0.8,4.2,8.6,0.488,0.563,2,2,1,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8
6,Ty-Shon Alexander,SG,22,PHO,15,0,3.1,0.2,0.8,0.25,0.1,0.6,0.222,0.1,0.2,0.333,0.333,0.1,0.1,0.5,0.1,0.5,0.7,0.4,0,0.1,0.2,0.1,0.6
7,Nickeil Alexander-Walker,SG,22,NOP,45,12,21.6,4.2,9.8,0.422,1.6,4.7,0.351,2.5,5.2,0.487,0.506,1,1.4,0.719,0.3,2.8,3.1,2.2,1,0.5,1.4,2,11
8,Grayson Allen,SG,25,MEM,50,38,25.2,3.5,8.3,0.418,2.1,5.5,0.391,1.3,2.8,0.471,0.547,1.6,1.8,0.868,0.4,2.8,3.2,2.2,0.9,0.2,1,1.4,10.6
9,Jarrett Allen,C,22,TOT,62,44,29.6,4.8,7.7,0.623,0.1,0.3,0.333,4.7,7.4,0.635,0.629,3.2,4.6,0.703,3.1,6.9,10,1.7,0.5,1.4,1.6,1.5,12.9
9,Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,0.677,0,0,,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
9,Jarrett Allen,C,22,CLE,50,39,30.3,5,8.2,0.615,0.1,0.4,0.333,4.9,7.8,0.628,0.622,3.1,4.4,0.689,3.1,6.8,9.9,1.7,0.5,1.4,1.6,1.5,13.3
10,Al-Farouq Aminu,PF,30,TOT,23,14,18.9,1.7,4.3,0.384,0.3,1.6,0.216,1.3,2.7,0.484,0.424,0.8,1,0.818,1,3.8,4.8,1.3,0.8,0.4,1.2,1.3,4.4
10,Al-Farouq Aminu,PF,30,ORL,17,14,21.6,2.1,5.2,0.404,0.4,1.8,0.226,1.7,3.4,0.5,0.444,0.8,1,0.824,1.2,4.2,5.4,1.7,1,0.5,1.5,1.3,5.5
10,Al-Farouq Aminu,PF,30,CHI,6,0,11.2,0.3,1.7,0.2,0.2,1,0.167,0.2,0.7,0.25,0.25,0.7,0.8,0.8,0.3,2.8,3.2,0.3,0.3,0,0.5,1.2,1.5
11,Kyle Anderson,PF,27,MEM,68,68,27.3,4.5,9.5,0.468,1.4,3.8,0.363,3.1,5.7,0.538,0.541,2.1,2.7,0.78,0.8,5,5.8,3.6,1.2,0.8,1.3,1.7,12.4
12,Giannis Antetokounmpo,PF,26,MIL,61,61,33,10.3,18,0.569,1.1,3.6,0.303,9.2,14.4,0.636,0.6,6.5,9.5,0.685,1.6,9.4,11,5.9,1.2,1.2,3.4,2.8,28.1
13,Kostas Antetokounmpo,PF,23,LAL,15,0,3.7,0.2,0.7,0.3,0,0,,0.2,0.7,0.3,0.3,0.4,0.9,0.462,0.3,1,1.3,0.1,0.1,0.3,0.7,0.5,0.8
14,Thanasis Antetokounmpo,SF,28,MIL,56,2,9.6,1.2,2.4,0.504,0.1,0.5,0.259,1.1,1.9,0.566,0.53,0.4,0.9,0.51,1,1.2,2.2,0.8,0.4,0.2,0.8,1.3,3
15,Carmelo Anthony,PF,36,POR,68,3,24.5,4.8,11.3,0.422,1.9,4.7,0.409,2.8,6.6,0.432,0.508,2,2.2,0.888,0.5,2.6,3.1,1.5,0.7,0.6,0.9,2.1,13.4
16,Cole Anthony,PG,20,ORL,46,33,26.8,4.5,11.5,0.397,1.2,3.5,0.337,3.3,7.9,0.423,0.449,2.1,2.5,0.812,0.8,3.8,4.6,4.1,0.6,0.4,2.2,2.1,12.3
17,OG Anunoby,SF,23,TOR,43,43,33.3,5.8,12.1,0.48,2.4,6.1,0.398,3.4,6,0.562,0.58,1.9,2.4,0.784,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,15.9
