visitor,tourism,business,official affairs,studying,others,age0-20,age21-30,age31-40,age41-50,age51-60,age61
8331,6836,73,31,119,1272,896,1952,1535,1498,1234,901
1863,1221,14,5,11,612,179,382,397,259,311,200
428,325,0,5,2,96,12,94,97,65,41,32
1191,374,6,5,8,798,27,567,261,105,67,38
3476,1142,806,58,520,950,125,850,864,591,324,98
39,24,1,0,3,11,2,7,8,5,6,5
14459,0,0,0,0,14459,384,1166,1447,2776,4571,4115
487623,369165,3933,414,32532,81579,14459,137271,133971,64975,63774,60503
375119,367157,2108,126,1231,4497,81364,112727,42342,59631,47010,29468
98510,96643,64,12,460,1331,7613,24934,25101,17349,13044,9490
46068,44679,61,5,265,1058,1597,10351,10333,8226,8773,5863
3049,2974,2,0,41,32,60,976,905,440,413,230
38701,21542,166,119,108,16766,1989,6297,6541,4162,2664,1763
25626,18857,242,135,277,6115,2083,5810,5720,3888,2456,1263
53100,45605,66,397,136,6896,5577,12550,13698,8230,4641,2789
46991,32117,1047,186,5394,8247,4480,11937,10998,6360,5388,2599
10646,3051,3283,52,197,4063,342,1735,2756,1563,681,389
40789,37653,107,7,286,2736,5697,10012,8560,5923,5211,2915
22105,20524,161,7,49,1364,3822,4375,3731,3731,3201,1992
8724,6691,119,383,967,564,816,1776,2643,2120,997,327
8405,3150,896,0,863,3496,451,2414,2742,1398,587,334
7021,2026,17,52,102,4824,118,1687,1376,469,221,71
3021,2758,22,19,135,87,633,775,773,405,278,120
4915,3202,11,3,178,1521,561,1241,1093,806,577,332
2532,1369,15,73,38,1037,54,385,545,316,147,101
2501,752,43,107,38,1561,109,1260,752,133,88,76
1494,177,53,11,28,1225,26,539,523,118,49,18
1704,206,148,107,230,1013,62,624,493,186,85,23
1282,285,233,14,256,494,61,470,413,184,85,15
1613,1549,11,1,1,51,31,159,224,296,290,603
382,195,95,8,30,54,30,60,134,76,31,28
6719,2759,547,241,402,2770,470,2435,1957,789,439,184
84275,65448,400,2221,190,16016,7736,12709,14323,13477,15237,15631
18670,14313,42,38,37,4240,2092,2557,3293,2901,3094,3530
1673,1250,19,15,21,368,116,347,426,235,139,120
2201,1663,7,1,18,512,90,437,528,283,228,172
3208,2299,22,27,79,781,134,776,789,404,264,193
27992,20692,141,13,182,6964,2909,5430,6403,4511,2850,1519
12813,11064,126,13,50,1560,415,1983,2151,1966,2182,3244
11142,9496,219,29,106,1292,468,2076,2139,1853,2064,1707
7469,5824,274,60,245,1066,436,1776,1610,1484,978,585
3583,2931,64,10,33,545,81,528,844,874,583,229
2898,2219,47,12,20,600,92,463,495,463,513,399
2368,630,95,6,17,1620,58,318,298,176,114,40
2007,1675,21,10,36,265,44,443,562,490,206,112
1044,494,5,3,2,540,29,100,177,106,79,28
858,723,37,1,24,73,92,199,146,143,162,76
1458,1261,30,9,47,111,85,332,264,307,266,154
1960,1264,8,1,21,666,38,351,477,245,129,98
1224,1054,13,1,21,135,49,215,226,209,239,237
824,686,2,0,8,128,18,153,203,163,125,65
911,740,9,0,5,157,20,150,212,161,163,96
1082,641,17,3,15,406,39,161,138,171,144,43
1400,1161,16,20,9,194,34,189,275,266,312,219
489,211,11,1,3,263,4,53,76,56,39,15
803,509,13,10,1,270,16,91,163,113,117,44
455,212,3,1,3,236,16,44,66,56,32,15
1001,813,11,5,10,162,64,198,153,181,166,116
724,587,7,2,5,123,21,150,153,132,115,95
3300,2105,31,18,67,1079,107,580,647,532,272,194
12263,10769,99,31,13,1351,974,1504,2078,2083,2040,3260
2451,1800,24,4,2,621,188,363,499,366,482,411
430,331,2,6,2,89,20,79,99,79,48,22
945,488,5,2,6,444,30,276,192,110,93,71
3798,1267,831,87,259,1354,136,729,924,595,294,100
57,38,2,0,0,17,0,8,10,9,9,7
19225,0,0,0,0,19225,918,1336,1901,4011,5402,5657
493250,410542,3575,362,9959,68812,16492,134102,139617,65302,62969,61204
290092,283101,1584,126,333,4948,28550,73721,49370,53623,45116,36773
113072,111505,73,13,147,1334,9518,23691,28047,20239,16531,14028
76104,75074,47,2,90,891,12113,12084,14315,15750,12675,8376
4310,4292,1,1,3,13,375,1188,1196,575,558,418
66525,43794,228,167,45,22291,7525,9875,10284,8410,5904,4280
31427,22596,225,207,54,8345,2137,6622,6488,4424,3222,1830
69726,61999,53,401,55,7218,7710,17390,17251,10301,7013,4423
63169,51939,1271,283,1284,8392,4636,14925,16384,9377,7854,4688
12933,4088,3039,53,75,5678,490,1707,2829,1641,821,481
43726,40894,120,4,27,2681,3801,10929,9100,6077,6478,4908
23307,21814,116,1,19,1357,1914,5364,4648,3715,3616,2784
7582,6389,83,299,248,563,762,1292,2457,1881,858,292
7378,3270,651,4,109,3344,197,1837,2480,1366,564,376
7272,2716,13,62,17,4464,285,1557,1245,578,369,196
3265,3115,24,17,34,75,516,864,914,470,334,137
4618,3129,20,11,17,1441,391,1191,1151,689,520,364
2826,1687,12,142,13,972,71,395,522,385,283,243
5325,2028,63,112,18,3104,500,2730,1226,341,268,260
1478,313,72,6,8,1079,63,464,474,146,73,24
1318,275,137,125,49,732,35,336,402,155,99,24
1218,361,315,36,66,440,46,300,399,241,111,30
2221,2161,11,0,2,47,143,215,269,287,310,987
298,148,79,5,12,54,9,39,114,66,43,10
6762,3247,484,200,64,2767,417,2249,1806,884,542,249
102524,83521,352,3763,113,14775,10481,13435,16627,15013,17478,23933
21361,17275,44,43,15,3984,1760,4313,3657,2745,3479,4066
2212,1752,15,16,5,424,108,389,525,296,228,322
3298,2722,7,7,15,547,328,632,720,456,331,310
4422,3292,34,44,19,1033,155,898,1007,566,441,435
34205,25342,166,25,41,8631,2794,6918,7501,5078,3591,1853
16707,14760,141,19,18,1769,1333,2814,3063,2227,2545,3658
12873,10819,212,28,84,1730,1172,2083,2532,2003,2218,1590
11616,10034,224,40,164,1154,1349,2707,2356,1914,1449,1108
4381,3238,46,18,12,1067,202,586,892,876,598,281
4089,3452,48,8,12,569,378,736,665,640,722,498
2574,799,76,7,8,1684,58,343,321,223,117,34
2678,2314,20,14,29,301,155,618,680,523,336,165
1323,721,6,3,1,592,35,180,243,135,96,61
1489,1382,29,3,8,67,134,472,275,204,192,181
2188,2007,18,16,22,125,227,563,453,360,263,245
2301,1615,9,7,11,659,124,400,492,330,166,172
2236,2068,15,9,11,133,265,456,408,325,364,354
1192,1052,5,0,2,133,96,187,283,199,152,164
1140,935,9,1,9,186,60,242,224,188,154,118
1275,854,8,2,27,384,85,219,182,178,146,91
