년_월,국가,방문자 수,전년 동월 대비 성장률,동월 구성 비율 ,남자,여자,관광,사업,공무,유학,기타,20대 미만,20대,30대,40대,50대,60대 이상
19-01,Turkey,1785,-7.704239917,0.161567266,681,234,792,13,32,36,912,57,239,300,206,89,24
19-01,Cambodia,2695,10.85972851,0.243934892,1666,730,635,39,55,51,1915,124,1392,685,109,58,28
19-01,Sri Lanka,1287,-14.2,0.116491356,1036,90,157,54,5,28,1043,13,373,550,151,31,8
19-01,Bangladesh,1247,1.299756296,0.112870801,897,57,149,126,27,97,848,26,342,403,123,48,12
19-01,Pakistan,1032,-10.7266436,0.093410318,857,142,238,178,10,193,413,62,328,378,147,67,17
19-01,Israel,805,-0.494437577,0.072863669,591,199,727,12,0,9,57,19,80,170,223,120,178
19-01,Iran,184,-66.78700361,0.016654553,122,47,60,45,10,23,46,9,30,73,39,12,6
19-01,Asia others,4554,16.67947733,0.412200184,2990,1028,1561,308,70,205,2410,247,1605,1349,500,209,108
19-01,USA,62737,4.744970365,5.678568939,32907,24623,42989,418,2578,229,16523,5601,10672,10618,10137,11530,8972
19-01,Canada,12460,0.346299428,1.127802875,5783,5418,8034,57,30,43,4296,959,2190,2299,1847,2184,1722
